"lb_name";"lb_code";"ward_code";"ward_name";"ward_area_hectare";"green_area_hectare";"blue_area_hectare";"green_blue_area_hectare";"percent_green";"percent_blue";"percent_green_blue"
"Bexley";"E09000004";"E05011231";"Slade Green & Northend";554.256;243.142;128.424;371.566;43.8682;23.1706;67.0388
"Bexley";"E09000004";"E05011232";"Thamesmead East";514.392;219.171;113.698;332.869;42.6078;22.1033;64.7112
"Bexley";"E09000004";"E05011233";"West Heath";237.499;65.8305;0.0351016;65.8656;27.7182;0.0147797;27.733
"Redbridge";"E09000026";"E05011234";"Aldborough";849.914;641.385;25.6612;667.046;75.4647;3.01927;78.484
"Redbridge";"E09000026";"E05011235";"Barkingside";162.98;51.5613;0.0161905;51.5775;31.6366;0.00993402;31.6465
"Redbridge";"E09000026";"E05011236";"Bridge";345.207;203.267;3.20348;206.47;58.8825;0.927989;59.8105
"Redbridge";"E09000026";"E05011237";"Chadwell";155.574;49.6173;0.012906;49.6302;31.893;0.00829576;31.9013
"Redbridge";"E09000026";"E05011238";"Churchfields";201.609;85.0081;1.09328;86.1013;42.1648;0.542276;42.7071
"Redbridge";"E09000026";"E05011239";"Clayhall";253.321;108.932;2.13867;111.07;43.0015;0.844255;43.8457
"Redbridge";"E09000026";"E05011240";"Clementswood";89.95;22.7465;0.0;22.7465;25.288;0.0;25.288
"Redbridge";"E09000026";"E05011241";"Cranbrook";149.09;46.8837;0.0123199;46.896;31.4466;0.00826339;31.4548
"Redbridge";"E09000026";"E05011242";"Fairlop";287.069;130.085;0.0179366;130.103;45.3148;0.00624817;45.3211
"Redbridge";"E09000026";"E05011243";"Fullwell";276.981;130.419;1.74159;132.161;47.086;0.628776;47.7148
"Redbridge";"E09000026";"E05011244";"Goodmayes";181.499;71.5493;1.57074;73.1201;39.4213;0.865428;40.2868
"Redbridge";"E09000026";"E05011245";"Hainault";565.28;398.519;3.30088;401.82;70.4994;0.583937;71.0833
"Redbridge";"E09000026";"E05011246";"Ilford Town";106.244;19.9991;0.23753;20.2366;18.8237;0.22357;19.0473
